device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
CPE-1,20.20.15.1,1,1,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA1173564,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE-12,20.20.15.12,1,1,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA2222875,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE-13,20.20.15.13,1,1,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA2222880,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE-14,20.20.16.14,1,1,IPC00012,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSD0121502,FWA-3260,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE-15,20.20.15.15,1,1,IPC00012,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSD0144154,FWA-3260,versa-flexvnf-20180505-164706-5cd1c58-16.1R2S2.2
CPE-17-Manish,20.20.15.17,1,1,IPC00012,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSD0144153,FWA-3260,versa-flexvnf-20180508-112757-d1653f6-16.1R2S2.2
CPE-24,20.20.16.24,1,1,IPC00012,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA1811044,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE-25,20.20.15.25,1,1,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA1811018,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE-27,20.20.15.27,1,1,IPC00011,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSA1811028,FWA-2320,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE-4,20.20.15.4,1,1,IPC00012,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSE0047581,FWA-1320,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE-5,20.20.15.5,1,2,IPC00012,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSD0098805,FWA-1320,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE-7,20.20.15.7,1,2,IPC00012,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSA1811014,FWA-2320,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE-8,20.20.15.8,1,2,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA1811046,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE11,20.20.15.11,1,2,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA1811003,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE22,20.20.15.22,1,2,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA2222874,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
CPE23,20.20.15.32,1,2,IPC00011,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSA2222876,FWA-2320,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE33,20.20.15.33,1,2,IPC00011,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSA2912660,FWA-1010VC,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
CPE6,10.0.7.19,1,2,IPC00012,branch,16.1-R1-S3.3 e51d9e9 20171107,REACHABLE,IN_SYNC,KSA1811024,FWA-2320,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm
CPE9,20.20.15.9,1,2,IPC00011,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC,KSA1811049,FWA-2320,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm
SAT000026,20.20.15.26,1,2,IPC00011,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC,KSA1811006,FWA-2320,versa-flexvnf-20180505-164725-5cd1c58-16.1R2S2.2-wsm
